time1,sites,transects,year_intervals,time,times,groups,alphaD,alphaD2,spe_sta,spe_asy,alpha_sta
1,ABUR,1,6-year,2008-2013,Ante-heat,FISH,2.058388132,0.918362213,-0.638536151,0.223273117,-0.415263033
1,ABUR,2,6-year,2008-2013,Ante-heat,FISH,1.203972804,0.639720143,-0.626042673,0.823115199,0.197072527
2,ABUR,1,6-year,2014-2019,Post-heat,FISH,1.386294361,0.532225559,-0.257567874,0.531906899,0.274339025
2,ABUR,2,6-year,2014-2019,Post-heat,FISH,1.427116356,0.738907865,-0.241459923,0.798464697,0.557004774
1,ABUR,1,6-year,2008-2013,Ante-heat,MOBILE INVERT,1.203972804,0.401800758,-0.607784659,0.527344104,-0.080440555
1,ABUR,2,6-year,2008-2013,Ante-heat,MOBILE INVERT,0.510825624,0.399315807,-0.422404815,0.247367343,-0.175037473
2,ABUR,1,6-year,2014-2019,Post-heat,MOBILE INVERT,0.916290732,0.262032514,-0.647120257,0.547971837,-0.099148421
2,ABUR,2,6-year,2014-2019,Post-heat,MOBILE INVERT,0.693147181,0.20271682,-0.62137073,0.427456361,-0.193914369
1,ABUR,1,6-year,2008-2013,Ante-heat,UNDERSTORY ALGAE,2.120263536,0.481082266,0.087351964,0.420934302,0.508286266
1,ABUR,2,6-year,2008-2013,Ante-heat,UNDERSTORY ALGAE,2.762117422,1.592049135,0.289267819,1.537472133,1.826739952
2,ABUR,1,6-year,2014-2019,Post-heat,UNDERSTORY ALGAE,2.268683541,0.644188318,0.25132142,0.435247481,0.686568901
2,ABUR,2,6-year,2014-2019,Post-heat,UNDERSTORY ALGAE,2.740840024,1.836563511,-0.064802288,0.839341887,0.774539598
1,ABUR,1,7-year,2007-2013,Ante-heat,SESSILE INVERT,1.742969305,0.937112012,-0.178819443,0.645790462,0.466971019
1,ABUR,2,7-year,2007-2013,Ante-heat,SESSILE INVERT,1.189584067,0.371053921,-0.406773135,0.361113835,-0.045659299
2,ABUR,1,7-year,2014-2020,Post-heat,SESSILE INVERT,1.349926717,0.655633143,-0.45830783,0.858716676,0.400408846
2,ABUR,2,7-year,2014-2020,Post-heat,SESSILE INVERT,1.349926717,0.381863129,-0.817414627,0.034171336,-0.78324329
1,ABUR,1,7-year,2007-2013,Ante-heat,FISH,1.945910149,0.762336001,-0.717235288,0.212228922,-0.505006365
1,ABUR,2,7-year,2007-2013,Ante-heat,FISH,1.232143681,0.709273309,-0.664599398,0.875362418,0.210763021
2,ABUR,1,7-year,2014-2020,Post-heat,FISH,1.312186389,0.438044834,-0.474633044,0.872964477,0.398331434
2,ABUR,2,7-year,2014-2020,Post-heat,FISH,1.386294361,0.745395782,-0.237497124,0.751327132,0.513830008
1,ABUR,1,7-year,2007-2013,Ante-heat,MOBILE INVERT,1.189584067,0.395946629,-0.631016657,0.510137328,-0.12087933
1,ABUR,2,7-year,2007-2013,Ante-heat,MOBILE INVERT,0.693147181,0.459874999,-0.63375725,0.400085623,-0.233671626
2,ABUR,1,7-year,2014-2020,Post-heat,MOBILE INVERT,0.762140052,0.262032514,-0.73369983,0.505787317,-0.227912514
2,ABUR,2,7-year,2014-2020,Post-heat,MOBILE INVERT,0.762140052,0.198142387,-0.759882363,0.602807441,-0.157074921
1,ABUR,1,7-year,2007-2013,Ante-heat,UNDERSTORY ALGAE,2.197224577,0.520985688,0.171268702,0.440450131,0.611718832
1,ABUR,2,7-year,2007-2013,Ante-heat,UNDERSTORY ALGAE,2.754570216,1.571996447,0.257400485,1.656284395,1.91368488
2,ABUR,1,7-year,2014-2020,Post-heat,UNDERSTORY ALGAE,2.288196356,0.758442568,0.041106897,0.463759475,0.504866372
2,ABUR,2,7-year,2014-2020,Post-heat,UNDERSTORY ALGAE,2.772588722,1.891359022,-0.061444153,0.895569663,0.83412551
1,AHND,1,3-year,2011-2013,Ante-heat,SESSILE INVERT,0,0,0.803172516,0,0.803172516
1,AHND,2,3-year,2011-2013,Ante-heat,SESSILE INVERT,1.897119985,0.767890531,-0.095911911,0.21710182,0.121189908
2,AHND,1,3-year,2014-2016,Post-heat,SESSILE INVERT,0,0,1.872487648,0,1.872487648
2,AHND,2,3-year,2014-2016,Post-heat,SESSILE INVERT,1.386294361,0.473614651,-0.074842427,0.139825856,0.064983429
1,AHND,1,3-year,2011-2013,Ante-heat,FISH,1.84582669,0.992895331,0.373083733,0.500274975,0.873358709
1,AHND,2,3-year,2011-2013,Ante-heat,FISH,2.079441542,1.326009306,-0.277916866,0.20740865,-0.070508216
2,AHND,1,3-year,2014-2016,Post-heat,FISH,1.203972804,0.429537087,-0.544190128,0.103442383,-0.440747745
2,AHND,2,3-year,2014-2016,Post-heat,FISH,1.84582669,0.641950819,-0.216110184,0.43915872,0.223048537
1,AHND,1,3-year,2011-2013,Ante-heat,MOBILE INVERT,0.287682072,0.155516049,-0.058494858,0.135398579,0.076903721
1,AHND,2,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.197224577,1.028740431,-0.089086413,0.61313296,0.524046547
2,AHND,1,3-year,2014-2016,Post-heat,MOBILE INVERT,-0.405465108,0,-0.549306145,0.028148976,-0.521157169
2,AHND,2,3-year,2014-2016,Post-heat,MOBILE INVERT,1.897119985,1.424248036,-0.259985273,1.006249939,0.746264665
1,AHND,1,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,0.84729786,0.353692004,-0.03627149,0.10220604,0.06593455
1,AHND,2,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,2.456735773,1.438958998,-0.007767386,0.314878485,0.307111099
2,AHND,1,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,0.287682072,0.235082512,-0.461412138,0.000567021,-0.460845118
2,AHND,2,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.159484249,0.692256646,-0.093926615,0.518120111,0.424193497
1,AHND,1,4-year,2010-2013,Ante-heat,SESSILE INVERT,0,0,0.856896814,0,0.856896814
1,AHND,2,4-year,2010-2013,Ante-heat,SESSILE INVERT,1.909542505,0.777398847,-0.172889994,0.224991856,0.052101862
2,AHND,1,4-year,2014-2017,Post-heat,SESSILE INVERT,0,0,1.314573553,0,1.314573553
2,AHND,2,4-year,2014-2017,Post-heat,SESSILE INVERT,1.178654996,0.332595221,-0.279337433,0.107232828,-0.172104604
1,AHND,1,4-year,2010-2013,Ante-heat,FISH,1.791759469,0.71567218,0.323820493,0.705904956,1.029725449
1,AHND,2,4-year,2010-2013,Ante-heat,FISH,2.277267285,1.250501329,-0.09379502,0.313796073,0.220001053
2,AHND,1,4-year,2014-2017,Post-heat,FISH,1.098612289,0.449787415,-0.682399012,0.109281588,-0.573117423
2,AHND,2,4-year,2014-2017,Post-heat,FISH,1.704748092,0.671330408,-0.372425051,0.360620462,-0.011804589
1,AHND,1,4-year,2010-2013,Ante-heat,MOBILE INVERT,0.223143551,0.114311563,-0.25211075,0.107368804,-0.144741945
1,AHND,2,4-year,2010-2013,Ante-heat,MOBILE INVERT,2.302585093,0.967042901,-0.078854636,0.330009453,0.251154817
2,AHND,1,4-year,2014-2017,Post-heat,MOBILE INVERT,0.223143551,0.145425406,-0.678137261,0.395994558,-0.282142703
2,AHND,2,4-year,2014-2017,Post-heat,MOBILE INVERT,1.658228077,0.842768377,-0.428973439,0.647886423,0.218912983
1,AHND,1,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,1.011600912,0.369305732,-0.373934569,0.683414112,0.309479543
1,AHND,2,4-year,2010-2013,Ante-heat,UNDERSTORY ALGAE,2.545531272,1.550654635,0.007376346,0.41422331,0.421599655
2,AHND,1,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,0,0.235082512,-0.615972579,0.000648288,-0.615324291
2,AHND,2,4-year,2014-2017,Post-heat,UNDERSTORY ALGAE,1.871802177,0.692256646,-0.34208535,0.366770794,0.024685444
1,AHND,1,5-year,2009-2013,Ante-heat,SESSILE INVERT,0,0,0.926008528,0,0.926008528
1,AHND,2,5-year,2009-2013,Ante-heat,SESSILE INVERT,2.028148247,0.885542439,-0.301181874,0.283335121,-0.017846753
2,AHND,1,5-year,2014-2018,Post-heat,SESSILE INVERT,0,0,1.35646524,0,1.35646524
2,AHND,2,5-year,2014-2018,Post-heat,SESSILE INVERT,1.029619417,0.25663789,-0.374636029,0.103080938,-0.27155509
1,AHND,1,5-year,2009-2013,Ante-heat,FISH,1.686398954,0.735423409,0.048827474,0.410301106,0.45912858
1,AHND,2,5-year,2009-2013,Ante-heat,FISH,2.174751721,1.196379444,-0.238925481,0.271326521,0.03240104
2,AHND,1,5-year,2014-2018,Post-heat,FISH,1.098612289,0.491964736,-0.76166366,0.29685366,-0.46481
2,AHND,2,5-year,2014-2018,Post-heat,FISH,1.609437912,0.646782466,-0.459172508,0.365860927,-0.09331158
1,AHND,1,5-year,2009-2013,Ante-heat,MOBILE INVERT,0.182321557,0.090379949,-0.337925667,0.096863578,-0.241062087
1,AHND,2,5-year,2009-2013,Ante-heat,MOBILE INVERT,2.302585093,0.861611412,-0.001382051,0.351866165,0.350484114
2,AHND,1,5-year,2014-2018,Post-heat,MOBILE INVERT,0.182321557,0.107038824,-0.703541363,0.426421588,-0.277119774
2,AHND,2,5-year,2014-2018,Post-heat,MOBILE INVERT,1.435084525,0.842768377,-0.563852184,0.530549879,-0.033302306
1,AHND,1,5-year,2009-2013,Ante-heat,UNDERSTORY ALGAE,1.029619417,0.438481218,-0.514876563,0.985999103,0.47112254
1,AHND,2,5-year,2009-2013,Ante-heat,UNDERSTORY ALGAE,2.58021683,1.526738636,-0.060529295,0.406470527,0.345941231
2,AHND,1,5-year,2014-2018,Post-heat,UNDERSTORY ALGAE,0.182321557,0.354316182,-0.667547159,0.047918101,-0.619629058
2,AHND,2,5-year,2014-2018,Post-heat,UNDERSTORY ALGAE,1.648658626,0.692256646,-0.492371552,0.31426091,-0.178110642
1,AHND,1,6-year,2008-2013,Ante-heat,SESSILE INVERT,0,0,1.040496373,0,1.040496373
1,AHND,2,6-year,2008-2013,Ante-heat,SESSILE INVERT,2.140066163,0.882865935,-0.343063376,0.37547567,0.032412294
2,AHND,1,6-year,2014-2019,Post-heat,SESSILE INVERT,0,0,1.307404139,0,1.307404139
2,AHND,2,6-year,2014-2019,Post-heat,SESSILE INVERT,0.916290732,0.209026676,-0.42982974,0.106765322,-0.323064418
1,AHND,1,6-year,2008-2013,Ante-heat,FISH,1.575536361,0.664430784,-0.257418427,0.847102048,0.589683621
1,AHND,2,6-year,2008-2013,Ante-heat,FISH,2.197224577,1.162262485,-0.166988532,0.364914736,0.197926204
2,AHND,1,6-year,2014-2019,Post-heat,FISH,1.041453875,0.402971618,-0.855722366,0.387718439,-0.468003928
2,AHND,2,6-year,2014-2019,Post-heat,FISH,1.427116356,0.646782466,-0.575048143,0.331261658,-0.243786486
1,AHND,1,6-year,2008-2013,Ante-heat,MOBILE INVERT,0.15415068,0.074737911,-0.364681971,0.222990225,-0.141691745
1,AHND,2,6-year,2008-2013,Ante-heat,MOBILE INVERT,2.351375257,0.840871675,0.084051642,0.404658372,0.488710014
2,AHND,1,6-year,2014-2019,Post-heat,MOBILE INVERT,0.287682072,0.159452507,-0.867541285,0.387758711,-0.479782574
2,AHND,2,6-year,2014-2019,Post-heat,MOBILE INVERT,1.252762968,0.842768377,-0.668281055,0.475193792,-0.193087264
1,AHND,1,6-year,2008-2013,Ante-heat,UNDERSTORY ALGAE,0.980829253,0.383433684,-0.675422412,1.251628114,0.576205702
1,AHND,2,6-year,2008-2013,Ante-heat,UNDERSTORY ALGAE,2.564949357,1.319303918,-0.062358741,0.552137634,0.489778894
2,AHND,1,6-year,2014-2019,Post-heat,UNDERSTORY ALGAE,0,0.354316182,-0.76516036,0.045489958,-0.719670402
2,AHND,2,6-year,2014-2019,Post-heat,UNDERSTORY ALGAE,1.466337069,0.692256646,-0.604328758,0.287373373,-0.316955385
1,AHND,1,7-year,2007-2013,Ante-heat,SESSILE INVERT,0,0,1.06733859,0,1.06733859
1,AHND,2,7-year,2007-2013,Ante-heat,SESSILE INVERT,2.148434413,0.915422891,-0.312305533,0.384764922,0.07245939
2,AHND,1,7-year,2014-2020,Post-heat,SESSILE INVERT,0,0,0.933868951,0,0.933868951
2,AHND,2,7-year,2014-2020,Post-heat,SESSILE INVERT,0.826678573,0.176355126,-0.494696054,0.101206972,-0.393489082
1,AHND,1,7-year,2007-2013,Ante-heat,FISH,1.550597412,0.593732832,-0.24860192,0.84072661,0.59212469
1,AHND,2,7-year,2007-2013,Ante-heat,FISH,2.288196356,0.997633897,-0.808447208,0.165893394,-0.642553813
2,AHND,1,7-year,2014-2020,Post-heat,FISH,1.049822124,0.340706644,-0.896496364,0.393382532,-0.503113831
2,AHND,2,7-year,2014-2020,Post-heat,FISH,1.386294361,0.571892133,-0.714747145,0.645661219,-0.069085927
1,AHND,1,7-year,2007-2013,Ante-heat,MOBILE INVERT,0.251314429,0.142457202,-0.455334214,0.254243936,-0.201090278
1,AHND,2,7-year,2007-2013,Ante-heat,MOBILE INVERT,2.344549292,0.916268545,-0.042079815,0.423751059,0.381671243
2,AHND,1,7-year,2014-2020,Post-heat,MOBILE INVERT,0.133531393,0.159452507,-0.945474822,0.370901744,-0.574573078
2,AHND,2,7-year,2014-2020,Post-heat,MOBILE INVERT,1.098612289,0.842768377,-0.75393237,0.442750546,-0.311181824
1,AHND,1,7-year,2007-2013,Ante-heat,UNDERSTORY ALGAE,0.826678573,0.383433684,-0.762951214,1.059396185,0.296444971
1,AHND,2,7-year,2007-2013,Ante-heat,UNDERSTORY ALGAE,2.48490665,1.187323988,-0.168746831,0.461312798,0.292565966
2,AHND,1,7-year,2014-2020,Post-heat,UNDERSTORY ALGAE,-0.15415068,0.354316182,-0.846481647,0.043901962,-0.802579684
2,AHND,2,7-year,2014-2020,Post-heat,UNDERSTORY ALGAE,1.349926717,0.469469213,-0.696751468,0.28401853,-0.412732938
1,AQUE,1,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.233592221,0.165051884,0.247612094,0.049370268,0.296982361
1,AQUE,2,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.302585093,0.209372635,0.495282497,0.08809162,0.583374118
1,AQUE,3,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.197224577,0.893608633,0.400958154,1.33646841,1.737426563
1,AQUE,4,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.456735773,0.980292615,0.016566488,0.08700596,0.103572449
1,AQUE,5,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.335374915,0.263762235,1.269358163,0.707743071,1.977101233
1,AQUE,6,3-year,2011-2013,Ante-heat,SESSILE INVERT,2.268683541,0.093520289,1.41205876,0.214914074,1.626972834
2,AQUE,1,3-year,2014-2016,Post-heat,SESSILE INVERT,2.302585093,0.303376854,-0.143423438,0.1156523,-0.027771138
2,AQUE,2,3-year,2014-2016,Post-heat,SESSILE INVERT,2.335374915,0.135899247,-0.304551981,0.013359081,-0.2911929
2,AQUE,3,3-year,2014-2016,Post-heat,SESSILE INVERT,1.84582669,0.556837349,0.390241858,0.397362066,0.787603924
2,AQUE,4,3-year,2014-2016,Post-heat,SESSILE INVERT,2.079441542,0.980130011,-0.244118724,0.220764117,-0.023354607
2,AQUE,5,3-year,2014-2016,Post-heat,SESSILE INVERT,2.614959778,0.456455963,0.732791971,0.435391477,1.168183448
2,AQUE,6,3-year,2014-2016,Post-heat,SESSILE INVERT,2.159484249,0.068919381,0.080968038,0.014053776,0.095021814
1,AQUE,1,3-year,2011-2013,Ante-heat,FISH,1.540445041,0.867038039,-0.213893394,0.700685176,0.486791783
1,AQUE,2,3-year,2011-2013,Ante-heat,FISH,2.079441542,0.549638585,-0.40055833,0.245430733,-0.155127598
1,AQUE,3,3-year,2011-2013,Ante-heat,FISH,2.397895273,0.949588212,-0.073391699,0.666170842,0.592779143
1,AQUE,4,3-year,2011-2013,Ante-heat,FISH,2.268683541,1.219845531,-0.058165039,0.2839071,0.225742061
1,AQUE,5,3-year,2011-2013,Ante-heat,FISH,1.945910149,0.747890175,-0.247558796,0.344592256,0.09703346
1,AQUE,6,3-year,2011-2013,Ante-heat,FISH,2.159484249,1.333244844,-0.32973159,0.419421158,0.089689568
2,AQUE,1,3-year,2014-2016,Post-heat,FISH,1.609437912,0.831268929,-0.192649129,0.834771152,0.642122022
2,AQUE,2,3-year,2014-2016,Post-heat,FISH,2.120263536,1.166105561,-0.042664289,0.307581586,0.264917297
2,AQUE,3,3-year,2014-2016,Post-heat,FISH,1.673976434,0.640873817,-0.196017647,0.203776893,0.007759246
2,AQUE,4,3-year,2014-2016,Post-heat,FISH,1.791759469,1.161553932,-0.149338659,0.371142362,0.221803703
2,AQUE,5,3-year,2014-2016,Post-heat,FISH,2.233592221,1.256720753,-0.496453241,0.175215602,-0.32123764
2,AQUE,6,3-year,2014-2016,Post-heat,FISH,1.299282984,0.399035404,-0.230336904,0.968034258,0.737697354
1,AQUE,1,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.48490665,0.583257387,0.247164423,0.682297338,0.929461761
1,AQUE,2,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.397895273,0.9292356,0.081725142,1.136095942,1.217821084
1,AQUE,3,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.48490665,0.665725241,-0.235064693,1.095539823,0.86047513
1,AQUE,4,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.367123614,0.718433719,0.436957698,0.847870574,1.284828272
1,AQUE,5,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.367123614,0.630585293,0.115755469,0.227135417,0.342890886
1,AQUE,6,3-year,2011-2013,Ante-heat,MOBILE INVERT,2.48490665,1.772585998,-0.001749083,0.30100204,0.299252957
2,AQUE,1,3-year,2014-2016,Post-heat,MOBILE INVERT,2.036881927,0.872608757,-0.252360311,0.088016348,-0.164343963
2,AQUE,2,3-year,2014-2016,Post-heat,MOBILE INVERT,2.197224577,0.844093106,0.060507176,0.539145186,0.599652361
2,AQUE,3,3-year,2014-2016,Post-heat,MOBILE INVERT,2.302585093,0.828012505,0.123368034,0.436791534,0.560159568
2,AQUE,4,3-year,2014-2016,Post-heat,MOBILE INVERT,2.159484249,0.834541407,0.115657146,0.157822245,0.273479391
2,AQUE,5,3-year,2014-2016,Post-heat,MOBILE INVERT,1.897119985,0.512086763,0.023495667,0.446314364,0.469810032
2,AQUE,6,3-year,2014-2016,Post-heat,MOBILE INVERT,1.734601055,0.894139567,0.027290158,1.27485405,1.302144208
1,AQUE,1,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,2.159484249,1.103803411,-0.359540334,0.374225157,0.014684822
1,AQUE,2,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,2.427748236,1.193818676,-0.125582233,0.513445789,0.387863555
1,AQUE,3,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,2.159484249,0.451406509,0.7148853,0.640974065,1.355859365
1,AQUE,4,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,2.268683541,0.917395426,-0.247591402,0.542211971,0.294620568
1,AQUE,5,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,1.791759469,0.633525748,-0.367022141,0.643430213,0.276408072
1,AQUE,6,3-year,2011-2013,Ante-heat,UNDERSTORY ALGAE,1.466337069,0.298989207,-0.431366174,0.433742497,0.002376323
2,AQUE,1,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,1.609437912,0.60175018,-0.427754738,0.081045723,-0.346709015
2,AQUE,2,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.367123614,0.950871214,0.054148262,0.985020351,1.039168613
2,AQUE,3,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.397895273,0.853655193,-0.157087451,1.245751793,1.088664342
2,AQUE,4,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,2.397895273,1.255243677,-0.142357348,0.373016934,0.230659586
2,AQUE,5,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,1.84582669,0.719564746,-0.299858418,0.127566065,-0.172292353
2,AQUE,6,3-year,2014-2016,Post-heat,UNDERSTORY ALGAE,1.992430165,0.367245725,-0.229147004,0.038145575,-0.191001429
1,AQUE,1,4-year,2010-2013,Ante-heat,SESSILE INVERT,2.251291799,0.150451217,0.460850491,0.054579813,0.515430304
1,AQUE,2,4-year,2010-2013,Ante-heat,SESSILE INVERT,2.442347035,0.176552178,0.411475044,0.076580929,0.488055973
1,AQUE,3,4-year,2010-2013,Ante-heat,SESSILE INVERT,2.251291799,0.975663842,0.213676359,0.750193668,0.963870026
1,AQUE,4,4-year,2010-2013,Ante-heat,SESSILE INVERT,2.397895273,0.871498553,-0.18332569,0.084981073,-0.098344617
1,AQUE,5,4-year,2010-2013,Ante-heat,SESSILE INVERT,2.420368129,0.232331554,1.401889689,0.778912601,2.18080229
